,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2019-03-07 15:00:00-08:00,14.077698,2.225946,260.18424184865455,55.313365142246845,230.15645674710987,76.0,16.0,0.0,72.0
2019-03-07 18:00:00-08:00,19.745087,2.8509607,0.0,0.0,0.0,68.0,21.0,0.0,59.0
2019-03-07 21:00:00-08:00,18.8508,5.0174985,0.0,0.0,0.0,89.0,55.0,0.0,72.0
2019-03-08 00:00:00-08:00,16.43692,4.379394,0.0,0.0,0.0,85.0,59.0,0.0,58.0
2019-03-08 03:00:00-08:00,13.450012,4.313864,0.0,0.0,0.0,62.0,56.0,0.0,9.0
2019-03-08 06:00:00-08:00,12.450745,2.1916125,0.0,0.0,0.0,38.0,32.0,0.0,8.0
2019-03-08 09:00:00-08:00,11.99646,4.7711844,369.1238506795659,223.6264253167872,246.1040924751081,45.0,20.0,0.0,33.0
2019-03-08 12:00:00-08:00,11.350006,6.370268,646.5563203345732,354.8164921573598,364.8519095186662,31.0,18.0,0.0,16.0
2019-03-08 15:00:00-08:00,11.7439575,6.2749243,493.6659203081372,656.3704041016373,135.12701060946836,7.0,7.0,0.0,0.0
2019-03-08 18:00:00-08:00,17.204987,5.0487866,0.0,0.0,0.0,11.0,11.0,0.0,0.0
2019-03-08 21:00:00-08:00,19.695099,6.9586678,0.0,0.0,0.0,31.0,31.0,0.0,0.0
2019-03-09 00:00:00-08:00,16.157745,6.805641,0.0,0.0,0.0,19.0,19.0,0.0,0.0
2019-03-09 03:00:00-08:00,12.296143,5.084989,0.0,0.0,0.0,8.0,8.0,0.0,0.0
2019-03-09 06:00:00-08:00,12.503876,4.1136384,0.0,0.0,0.0,44.0,44.0,0.0,0.0
2019-03-09 09:00:00-08:00,11.9039,0.93594813,204.6909115067055,13.501941293603803,197.2007035208768,94.0,94.0,0.0,0.0
2019-03-09 12:00:00-08:00,10.220703,0.49239787,517.3480618233947,147.03925185360745,400.0003957801106,56.0,56.0,0.0,0.0
2019-03-09 15:00:00-08:00,11.019379,0.7967557,469.4400294921564,535.095710053442,175.35664048417374,15.0,2.0,0.0,13.0
2019-03-09 18:00:00-08:00,14.837616,1.7565309,0.0,0.0,0.0,50.0,38.0,0.0,35.0
2019-03-09 21:00:00-08:00,19.58081,3.313549,0.0,0.0,0.0,93.0,81.0,0.0,87.0
2019-03-10 00:00:00-08:00,16.314606,5.480868,0.0,0.0,0.0,83.0,42.0,0.0,80.0
2019-03-10 03:00:00-07:00,12.319244,4.7253222,0.0,0.0,0.0,44.0,10.0,0.0,36.0
2019-03-10 06:00:00-07:00,12.44989,2.3122702,0.0,0.0,0.0,60.0,43.0,0.0,18.0
2019-03-10 09:00:00-07:00,10.994049,2.3773026,164.84459736252236,36.4909014874899,150.7547144832062,77.0,77.0,0.0,0.0
2019-03-10 12:00:00-07:00,10.152527,1.5804267,524.5081238455801,179.23408202858462,385.6475052748794,51.0,47.0,0.0,4.0
2019-03-10 15:00:00-07:00,10.959381,1.2888825,260.5442511775159,17.660523348165814,248.40576394199954,95.0,7.0,0.0,95.0
2019-03-10 18:00:00-07:00,17.977722,0.8210126,37.76844686356661,0.0,37.76844686356661,97.0,4.0,32.0,97.0
2019-03-10 21:00:00-07:00,19.901093,3.1826794,0.0,0.0,0.0,99.0,9.0,92.0,98.0
2019-03-11 00:00:00-07:00,16.24765,3.875549,0.0,0.0,0.0,90.0,13.0,84.0,53.0
2019-03-11 03:00:00-07:00,12.408508,2.1521914,0.0,0.0,0.0,35.0,34.0,0.0,1.0
2019-03-11 06:00:00-07:00,11.583588,1.6684676,0.0,0.0,0.0,31.0,18.0,2.0,13.0
2019-03-11 09:00:00-07:00,11.204559,1.3601638,121.45579829294792,0.0,121.45579829294792,98.0,3.0,92.0,91.0
2019-03-11 12:00:00-07:00,10.581726,0.89159125,322.11965060446056,25.228633820810742,302.4653551252851,91.0,2.0,64.0,85.0
2019-03-11 15:00:00-07:00,11.550018,0.5021472,239.487210700215,12.166822377452734,231.08164292472176,100.0,0.0,100.0,95.0
2019-03-11 18:00:00-07:00,14.086639,1.5061712,37.26463262778429,0.0,37.26463262778429,99.0,13.0,99.0,81.0
2019-03-11 21:00:00-07:00,14.563568,3.2224624,0.0,0.0,0.0,100.0,100.0,100.0,95.0
2019-03-12 00:00:00-07:00,13.189117,3.9259064,0.0,0.0,0.0,100.0,95.0,100.0,94.0
2019-03-12 03:00:00-07:00,12.324951,2.6443214,0.0,0.0,0.0,100.0,100.0,100.0,86.0
2019-03-12 06:00:00-07:00,11.771851,2.6213627,0.0,0.0,0.0,98.0,79.0,98.0,57.0
